NAMESPACE                     LAST SEEN   TYPE      REASON              OBJECT                                           MESSAGE
kube-system                   83s         Normal    Created             pod/cilium-qcpq4                                 Container created
kube-system                   83s         Normal    Started             pod/cilium-qcpq4                                 Container started
kube-system                   82s         Normal    Pulled              pod/cilium-qcpq4                                 Container image "docker.io/cilium/cilium-dev:s390x-be-policyfix2-20260221T163855Z" already present on machine and can be accessed by the pod
kube-system                   82s         Normal    Created             pod/cilium-qcpq4                                 Container created
kube-system                   82s         Normal    Started             pod/cilium-qcpq4                                 Container started
kube-system                   81s         Normal    Started             pod/cilium-qcpq4                                 Container started
kube-system                   81s         Normal    Pulled              pod/cilium-qcpq4                                 Container image "docker.io/cilium/cilium-dev:s390x-be-policyfix2-20260221T163855Z" already present on machine and can be accessed by the pod
kube-system                   81s         Normal    Created             pod/cilium-qcpq4                                 Container created
kube-system                   38s         Warning   DNSConfigForming    pod/kube-scheduler-zkd01.fyre.ibm.com            Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 9.30.99.253 9.30.6.100 10.11.48.21
kube-system                   35s         Warning   DNSConfigForming    pod/kube-proxy-vhb8x                             Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 9.30.99.253 9.30.6.100 10.11.48.21
kube-system                   32s         Warning   DNSConfigForming    pod/etcd-zkd01.fyre.ibm.com                      Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 9.30.99.253 9.30.6.100 10.11.48.21
s390x-policy-20260221172552   18s         Normal    Scheduled           pod/client                                       Successfully assigned s390x-policy-20260221172552/client to zkd01.fyre.ibm.com
s390x-policy-20260221172552   18s         Normal    Scheduled           pod/server                                       Successfully assigned s390x-policy-20260221172552/server to zkd01.fyre.ibm.com
s390x-policy-20260221172552   17s         Normal    Pulled              pod/server                                       Container image "registry.k8s.io/e2e-test-images/agnhost:2.53" already present on machine and can be accessed by the pod
s390x-policy-20260221172552   17s         Normal    Pulled              pod/client                                       Container image "registry.k8s.io/e2e-test-images/agnhost:2.53" already present on machine and can be accessed by the pod
s390x-policy-20260221172552   17s         Normal    Started             pod/server                                       Container started
s390x-policy-20260221172552   17s         Normal    Created             pod/server                                       Container created
s390x-policy-20260221172552   17s         Normal    Created             pod/client                                       Container created
s390x-policy-20260221172552   17s         Normal    Started             pod/client                                       Container started
kube-system                   0s          Warning   DNSConfigForming    pod/cilium-qcpq4                                 Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 9.30.99.253 9.30.6.100 10.11.48.21
